농장,화방번호,날짜,개화수,착과수,수확수,개당무게,총무게,초장,잎길이,잎폭,잎수
명성호,9,14,0.38 ,3.81 ,0.00 ,0.00 ,0.00 ,254.1,27.3,20.1,21.1
명성호,9,15,0.06 ,4.88 ,0.00 ,0.00 ,0.00 ,254.1,24.5,18.8,22.4
명성호,10,1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.6,29.1,20.2,8
명성호,10,2,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.9,28.5,20.9,8.6
명성호,10,3,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,102.8,21.9,16.1,11.1
명성호,10,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,115.4,16.8,11.3,11.6
명성호,10,5,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,129.6,14,8.8,14.4
명성호,10,6,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,154.9,19.1,11.2,16.3
명성호,10,7,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,179.2,21.8,13.4,15.8
명성호,10,8,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,196.2,21.9,13.8,14.7
명성호,10,9,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,213.1,23.9,14.3,17.1
명성호,10,10,0.13 ,0.00 ,0.00 ,0.00 ,0.00 ,230.1,25.7,16,17.6
명성호,10,11,1.06 ,1.13 ,0.00 ,0.00 ,0.00 ,245,25.5,17.5,20.1
명성호,10,12,2.13 ,1.63 ,0.00 ,0.00 ,0.00 ,254.1,26.8,18.9,20.1
명성호,10,13,0.44 ,3.25 ,0.00 ,0.00 ,0.00 ,254.1,26.8,19.9,20.6
명성호,10,14,0.31 ,4.00 ,0.00 ,0.00 ,0.00 ,254.1,27.3,20.1,21.1
명성호,10,15,1.13 ,3.25 ,0.00 ,0.00 ,0.00 ,254.1,24.5,18.8,22.4
정택준,1,1,1.10 ,0.00 ,0.00 ,0.00 ,0.00 ,78.50 ,31.30 ,32.50 ,7.00 
정택준,1,2,7.10 ,0.30 ,0.00 ,0.00 ,0.00 ,89.20 ,35.30 ,36.60 ,9.80 
정택준,1,3,5.30 ,6.00 ,0.00 ,0.00 ,0.00 ,99.20 ,33.60 ,36.50 ,9.50 
정택준,1,4,3.50 ,10.20 ,0.00 ,0.00 ,0.00 ,118.50 ,30.60 ,29.30 ,12.00 
정택준,1,5,1.40 ,13.40 ,0.00 ,0.00 ,0.00 ,131.50 ,28.20 ,28.40 ,9.70 
정택준,1,6,0.60 ,14.60 ,0.00 ,0.00 ,0.00 ,154.63 ,26.14 ,24.75 ,12.79 
정택준,1,7,0.80 ,13.30 ,0.00 ,0.00 ,0.00 ,169.57 ,25.80 ,22.79 ,13.40 
정택준,1,8,0.20 ,14.00 ,0.00 ,0.00 ,0.00 ,184.60 ,27.12 ,25.25 ,13.56 
정택준,1,9,0.10 ,9.90 ,0.00 ,0.00 ,0.00 ,194.95 ,25.62 ,20.51 ,16.98 
정택준,1,10,0.00 ,8.00 ,0.00 ,0.00 ,0.00 ,194.50 ,27.94 ,25.07 ,8.14 
정택준,1,11,0.00 ,6.00 ,2.20 ,3.58 ,15.98 ,186.95 ,30.31 ,28.45 ,9.07 
정택준,1,12,0.10 ,4.80 ,1.50 ,5.83 ,14.38 ,183.97 ,29.81 ,28.41 ,8.36 
정택준,1,13,0.40 ,3.60 ,1.00 ,3.26 ,11.98 ,189.02 ,28.92 ,27.41 ,7.97 
정택준,1,14,0.50 ,2.10 ,0.10 ,1.02 ,1.02 ,186.90 ,29.34 ,27.23 ,8.58 
정택준,1,15,0.20 ,1.70 ,0.30 ,0.74 ,2.22 ,192.25 ,29.28 ,27.32 ,8.17 
정택준,1,16,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,190.07 ,27.96 ,28.01 ,8.35 
정택준,1,17,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,195.73 ,29.81 ,28.06 ,8.42 
정택준,1,18,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,193.40 ,29.79 ,28.05 ,8.26 
정택준,2,1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,90.10 ,30.68 ,31.21 ,8.10 
정택준,2,2,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,99.73 ,34.54 ,35.41 ,9.64 
정택준,2,3,3.00 ,0.00 ,0.00 ,0.00 ,0.00 ,109.18 ,33.26 ,35.65 ,9.48 
정택준,2,4,4.50 ,2.10 ,0.00 ,0.00 ,0.00 ,126.10 ,30.46 ,29.12 ,11.62 
정택준,2,5,2.50 ,8.30 ,0.00 ,0.00 ,0.00 ,138.25 ,28.22 ,28.20 ,9.51 
정택준,2,6,1.50 ,11.10 ,0.00 ,0.00 ,0.00 ,154.63 ,26.14 ,24.75 ,12.79 
정택준,2,7,0.70 ,11.50 ,0.00 ,0.00 ,0.00 ,169.57 ,25.80 ,22.79 ,13.40 
정택준,2,8,0.60 ,11.90 ,0.00 ,0.00 ,0.00 ,184.60 ,27.12 ,25.25 ,13.56 
정택준,2,9,0.30 ,10.30 ,0.00 ,0.00 ,0.00 ,194.95 ,25.62 ,20.51 ,16.98 
정택준,2,10,0.30 ,11.10 ,0.00 ,0.00 ,0.00 ,194.50 ,27.94 ,25.07 ,8.14 
정택준,2,11,0.00 ,11.30 ,2.80 ,5.57 ,25.16 ,186.95 ,30.31 ,28.45 ,9.07 
정택준,2,12,0.00 ,8.30 ,2.60 ,8.47 ,31.43 ,183.97 ,29.81 ,28.41 ,8.36 
정택준,2,13,0.00 ,6.00 ,2.60 ,8.18 ,32.52 ,189.02 ,28.92 ,27.41 ,7.97 
정택준,2,14,0.30 ,2.80 ,0.60 ,3.04 ,6.49 ,186.90 ,29.34 ,27.23 ,8.58 
정택준,2,15,0.70 ,1.90 ,0.40 ,1.82 ,3.83 ,192.25 ,29.28 ,27.32 ,8.17 
정택준,2,16,0.00 ,0.60 ,0.10 ,0.65 ,0.65 ,190.07 ,27.96 ,28.01 ,8.35 
정택준,2,17,0.00 ,0.40 ,0.40 ,0.68 ,2.70 ,195.73 ,29.81 ,28.06 ,8.42 
정택준,2,18,0.00 ,0.30 ,0.00 ,0.00 ,0.00 ,193.40 ,29.79 ,28.05 ,8.26 
정택준,3,1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,90.10 ,30.68 ,31.21 ,8.10 
정택준,3,2,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,99.73 ,34.54 ,35.41 ,9.64 
정택준,3,3,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,109.18 ,33.26 ,35.65 ,9.48 
정택준,3,4,1.30 ,0.00 ,0.00 ,0.00 ,0.00 ,126.10 ,30.46 ,29.12 ,11.62 
정택준,3,5,7.10 ,2.70 ,0.00 ,0.00 ,0.00 ,138.25 ,28.22 ,28.20 ,9.51 
정택준,3,6,5.90 ,10.00 ,0.00 ,0.00 ,0.00 ,154.63 ,26.14 ,24.75 ,12.79 
정택준,3,7,2.90 ,15.80 ,0.00 ,0.00 ,0.00 ,169.57 ,25.80 ,22.79 ,13.40 
정택준,3,8,1.80 ,16.40 ,0.00 ,0.00 ,0.00 ,184.60 ,27.12 ,25.25 ,13.56 
정택준,3,9,0.90 ,15.60 ,0.00 ,0.00 ,0.00 ,194.95 ,25.62 ,20.51 ,16.98 
정택준,3,10,0.20 ,16.20 ,0.00 ,0.00 ,0.00 ,194.50 ,27.94 ,25.07 ,8.14 
정택준,3,11,0.20 ,14.40 ,0.60 ,3.00 ,9.01 ,186.95 ,30.31 ,28.45 ,9.07 
정택준,3,12,0.10 ,16.90 ,1.80 ,3.37 ,20.21 ,183.97 ,29.81 ,28.41 ,8.36 
정택준,3,13,0.00 ,15.10 ,5.30 ,8.08 ,73.33 ,189.02 ,28.92 ,27.41 ,7.97 
정택준,3,14,0.10 ,10.90 ,2.20 ,6.00 ,19.52 ,186.90 ,29.34 ,27.23 ,8.58 
정택준,3,15,0.40 ,3.90 ,1.60 ,4.05 ,12.47 ,192.25 ,29.28 ,27.32 ,8.17 
정택준,3,16,0.00 ,1.20 ,0.80 ,1.83 ,4.39 ,190.07 ,27.96 ,28.01 ,8.35 
정택준,3,17,0.00 ,0.40 ,0.40 ,1.05 ,2.44 ,195.73 ,29.81 ,28.06 ,8.42 
정택준,3,18,0.00 ,0.20 ,0.10 ,0.57 ,0.57 ,193.40 ,29.79 ,28.05 ,8.26 
정택준,4,1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,90.10 ,30.68 ,31.21 ,8.10 
정택준,4,2,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,99.73 ,34.54 ,35.41 ,9.64 
정택준,4,3,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,109.18 ,33.26 ,35.65 ,9.48 
정택준,4,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,126.10 ,30.46 ,29.12 ,11.62 
정택준,4,5,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,138.25 ,28.22 ,28.20 ,9.51 
정택준,4,6,5.20 ,1.30 ,0.00 ,0.00 ,0.00 ,154.63 ,26.14 ,24.75 ,12.79 
정택준,4,7,5.00 ,6.90 ,0.00 ,0.00 ,0.00 ,169.57 ,25.80 ,22.79 ,13.40 
정택준,4,8,5.50 ,11.50 ,0.00 ,0.00 ,0.00 ,184.60 ,27.12 ,25.25 ,13.56 
정택준,4,9,4.60 ,13.30 ,0.00 ,0.00 ,0.00 ,194.95 ,25.62 ,20.51 ,16.98 
정택준,4,10,3.80 ,17.40 ,0.00 ,0.00 ,0.00 ,194.50 ,27.94 ,25.07 ,8.14 
정택준,4,11,1.30 ,19.70 ,0.40 ,1.22 ,4.87 ,186.95 ,30.31 ,28.45 ,9.07 
정택준,4,12,0.00 ,17.20 ,0.00 ,0.00 ,0.00 ,183.97 ,29.81 ,28.41 ,8.36 
정택준,4,13,0.00 ,16.60 ,1.20 ,2.29 ,13.71 ,189.02 ,28.92 ,27.41 ,7.97 
정택준,4,14,0.00 ,13.40 ,2.70 ,6.73 ,30.46 ,186.90 ,29.34 ,27.23 ,8.58 
정택준,4,15,0.00 ,13.20 ,2.10 ,7.01 ,20.30 ,192.25 ,29.28 ,27.32 ,8.17 
정택준,4,16,0.00 ,5.90 ,1.70 ,2.89 ,13.25 ,190.07 ,27.96 ,28.01 ,8.35 
정택준,4,17,0.00 ,3.50 ,1.40 ,4.12 ,11.36 ,195.73 ,29.81 ,28.06 ,8.42 
정택준,4,18,0.00 ,1.60 ,0.40 ,1.32 ,2.63 ,193.40 ,29.79 ,28.05 ,8.26 
정택준,5,1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,90.10 ,30.68 ,31.21 ,8.10 
정택준,5,2,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,99.73 ,34.54 ,35.41 ,9.64 
정택준,5,3,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,109.18 ,33.26 ,35.65 ,9.48 
정택준,5,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,126.10 ,30.46 ,29.12 ,11.62 
정택준,5,5,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,138.25 ,28.22 ,28.20 ,9.51 
정택준,5,6,0.20 ,0.00 ,0.00 ,0.00 ,0.00 ,154.63 ,26.14 ,24.75 ,12.79 
정택준,5,7,3.70 ,0.80 ,0.00 ,0.00 ,0.00 ,169.57 ,25.80 ,22.79 ,13.40 
정택준,5,8,5.90 ,4.20 ,0.00 ,0.00 ,0.00 ,184.60 ,27.12 ,25.25 ,13.56 
정택준,5,9,5.90 ,6.90 ,0.00 ,0.00 ,0.00 ,194.95 ,25.62 ,20.51 ,16.98 
정택준,5,10,5.60 ,14.30 ,0.00 ,0.00 ,0.00 ,194.50 ,27.94 ,25.07 ,8.14 
정택준,5,11,1.40 ,18.90 ,0.00 ,0.00 ,0.00 ,186.95 ,30.31 ,28.45 ,9.07 
정택준,5,12,0.10 ,23.10 ,0.00 ,0.00 ,0.00 ,183.97 ,29.81 ,28.41 ,8.36 
정택준,5,13,0.00 ,19.30 ,0.00 ,0.00 ,0.00 ,189.02 ,28.92 ,27.41 ,7.97 
정택준,5,14,0.00 ,19.00 ,0.90 ,2.00 ,9.07 ,186.90 ,29.34 ,27.23 ,8.58 
정택준,5,15,0.00 ,17.00 ,1.40 ,2.92 ,13.75 ,192.25 ,29.28 ,27.32 ,8.17 
정택준,5,16,0.00 ,14.50 ,2.10 ,3.23 ,18.06 ,190.07 ,27.96 ,28.01 ,8.35 
